Шаг | Роль
1. Выбрать дату и время | Клиент
2. Показать доступные места | Система бронирования
3. Выбрать место и тариф | Клиент
4. Создать заказ и удержать слот | Система бронирования
5. Инициировать оплату (редирект на провайдера) | Система бронирования
6. Повторить оплату/изменить метод или отменить | Система бронирования
7. Обработка 3DS | Платежный провайдер
8. Ожидать результат платы (webhock) | Система бронирования
9. Подтвердить бронь | Система бронирования
10. Запрос на создание пропуска (QR) в СКУД | Система бронирования
11. Создать/активировать пропуск | СКУД/Турникет
12. Отправить подтверждение и QR клиенту и админу | Система бронирования
13. Проверить новые брони (уведомление) | Администратор 
