Шаг | Роль
1. Перейти на сайт Учебного Центра Neoflex | Потенциальный студент
2. Нажать кнопку "Хочу учиться" | Потенциальный студент
3. Заполнить форму заявки | Потенциальный студент
4. Получение сообщения о поступлении заявки | Менеджер по набору 
5. Принять заявку в лист ожидания | Менеджер по набору
6. Связаться со студентом | Менеджер по набору
7. Удалить из листа ожидания | Менеджер по набору
8. Принять заявку к обработке | Менеджер по набору
9. Зарегистрировать студента в Учебном Центре | Менеджер по набору
10. Зарегистрировать студента на курс "Входные мероприятия" | Менеджер по набору
11. Уведомить студента о регистрации на курс "Входные мероприятия" | Менеджер по набору
12. Отметить заявку как выполненную | Менеджер по набору
