Шаг | Роль
1. Сбор подконтрольных ЛС согласно клиентской иерархии | ЛК B2B
2. Сбор обращений из БД по ЛС | ЛК B2B
3. Получение данных по собранному массиву обращений searchInquiry | ЛК B2B
4. Получение параметров обращений по списку | CPM
5. Обновление данных по обращениям в кеше | ЛК B2B
6. Отображение списка обращений с актуальной информацией | ЛК B2B
7. Запрос с CPM на регистрацию обращения addInquiry | ЛК B2B
8. Регистрация обращения | EPM
9. Сохранение обращения в БД b2b_cache_inquiries | ЛК B2B
10. Отправка AMQP по факту взятия обращения на обработку | CPM
11. Обработка и фильтрация входного потока | EPM
