Шаг | Роль
1. Авторизация пользователя | Пользователь
2. Вывод сообщения с ошибкой бронирования | Пользователь
3. Вывод сообщения с деталями бронирования | Пользователь
4. Получение запроса на бронирование | Библиотечный сервис
5. Валидация доступности | Библиотечный сервис
6. Формирование брони | Библиотечный сервис
7. Предоставление информации сотруднику | Библиотекарь
8. Сбор всей необходимой информации для брони | Библиотекарь
9. Отправка обратного уведомления пользователю | Библиотечный сервис
10. Формирование обратного уведомления об отсутствии нужной книги | Библиотечный сервис
