Шаг | Роль
1. Создать заявку в ИТ в ИС PayDox | Пользователь
2. Принять к исполнению | Сотрудник техподдержки
3. Назначить ответственного или принять к исполнению | Сотрудник техподдержки
4. Рассмотрение заявки | Сотрудник техподдержки
5. Отменить заявку | Сотрудник техподдержки
6. Отметить согласие с отменой заявки | Пользователь
7. Исполнение заявки | Сотрудник техподдержки
8. Перенос сроков исполнения заявки | Сотрудник техподдержки
9. Назначить статус "Исполнено" | Сотрудник техподдержки
10. Отметить результативность исполнения заявки | Пользователь

