Шаг | Роль
1. Выбор периода подписки | Клиент
2. Отправка /star @PremiumBot | Клиент
3. Нажимает кнопку оплаты | Клиент
4. Выбирает способ оплаты | Клиент
5. Ввод данных банковской карты | Клиент
6. Валидация данных | Клиент
7. Связь с банком и списание средств | Сервер
8. Уведомление об ошибке | Клиент
9. Ввод номера телефона для SberPay | Клиент
10. Валидация данных | Клиент
11. Сохранение номера | Клиент
12. Выбор SberPay | Клиент
13. Связь с банком | Сервер
14. Отправка запроса на оплату через PUSH | Сервер
15. Добавление пользователя в список подписчиков с заданным периодом | Сервер
16. Уведомление об успешной оплате | Клиент
17. Доступ к функциям Telegram Premium | Клиент
