Шаг | Роль
1. Перейти на сайт Учебного Центра | Студент
2. Нажать кнопку "Хочу учиться" | Студент
3. Заполнить форму заявки | Студент
4. Принять заявку к обработке | Менеджер по набору (HR)
5. Зарегистрировать студента в Учебном Центре | Менеджер по набору (HR)
6. Зарегистрировать студента на курс "Вводные мероприятия" | Менеджер по набору (HR)
7. Заполнить анкету поступающего | Студент
8. Выполнить входное тестирование | Студент
9. Выполнить тестовое задание | Студент
10. Проведение собеседования в УЦ | Менеджер по набору (HR)
11. Зачисление в группу УЦ | Менеджер по набору (HR)
12. Проведение обучения | Учебный центр
13. Оценка финального проекта | Учебный центр 
14. Отбор лучших студентов | Учебный центр
15. Проведение собеседования в компанию Neoflex | Менеджер по набору (HR)
