Шаг | Роль
1. Возврат книги | Пользователь
2. Отправка сообщения с описанием повреждений книги | Пользователь
3. Выбор способа оплаты | Пользователь
4. Снятие средств | Пользователь
5. Отправка сообщений с деталями возврата | Пользователь
6. Отправка сообщения библиотекарю о возврате книги | Библиотечный сервис
7. Инспекция состояния книги | Библиотекарь
8. Расчет штрафа | Библиотечный сервис
9. Отправка уведомления пользователю о повреждениях | Библиотечный сервис
10. Снятие средств со счета пользователя | Библиотечный сервис
11. Замена статуса книги на "Доступна" | Библиотечный сервис
12. Отправка обратного уведомления пользователю | Библиотечный сервис
